project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
pvlib-python,A set of documented functions for simulating the performance of photovoltaic energy systems.,pvlib,https://github.com/pvlib/pvlib-python.git,github,"solar-energy,python,renewable-energy,renewables,photovoltaic",Photovoltaics and Solar Energy,"2022/08/19, 21:13:55",723,258,164,true,Python,pvlib,pvlib,"Python,TeX,Cython",https://pvlib-python.readthedocs.io,"2015/02/17, 00:21:33",2748,BSD-3-Clause,73,1422,"2022/08/26, 23:09:21",167,703,1312,165,0,33,0.9,0.44664031620553357,"2022/08/19, 21:23:58",v0.9.2,7,80,false,,true,true,"openclimatefix/ocf_datapipes,pollination/sample-apps,flopaw/pvforecast-docker,moritz-reuter/ESEM-EE,PVSC-Python-Tutorials/PVPMC_2022,cwhanse/ivcurves,brakisto/PV-sizing,brandonhanner/Solar-Simulation,NikolausHouben/pv-data-utility-suite,AssessingSolar/solarstations,openclimatefix/power_perceiver,LBNL-ETA/AFC,olousgap/Combi_CSP,VMLC-PV/PVLC_Diode_Fit,OpenSTEF/openstef,joaoguilhermeS/Web-Development,cire-thk/BifacialSimu,npapnet/Combi_CSP,pranavsinghal30/PVForecast,tongpu/solar-power-simulation,BETALAB-team/eureca-building,H-BRS-Deep-Learning-for-Robot-Vision/ASIRE-code-base,slacgismo/gismo-cloud-deploy,jranalli/solartoolbox,GregorBecker/SESMG,Emb3rs-Project/m-grpc-core-functionalities,inwe-boku/renSpatial,openclimatefix/nowcasting_forecast,jjcaine/top_dependencies_python,LE2P/pybsrnqc,oie-mines-paristech/IEA_PVPS_T16_QC_pynb,msoutojr/IFT-6759-Photovoltaic-forecast,nicosquare/ml-707-project,EvYogi/Rivesaltes,AndresPadillaUcros/PhotovoltaicForecast,mj-xmr/SolOptXMR,e-marco/onetmy,marcoboucas/irradiance,milosz-martynow/PV-CS-simulator,modusV/skia,sandialabs/CFTrack,enermaps/enermaps,helvecioneto/goes-data-toolkit,sophiegribben/EM401,davidusb-geek/emhass-add-on,aimlac-7564616D/models,cycle13/climate,abhijeetmokate/folder9876,zahraghh/DESweatherAnalysis,jsl12/plants,mtress/mtress,SeitaBV/flexmeasures-openweathermap,blaevens/PV_mcmc,ewilczynski/enermaps,energyscope/EnergyScope_multi_criteria,viktor-platform/sample-solar-panel-configurator,bhavyadureja25/ds_tool_with_upload,Rowan-Paul/HANAIM-OOSE,Sourabh470/IoT_Dashboard,shortfellow/dashapp,sunt05/SuPy,Caedin/RaspberryPiCamera,RubenVanEldik/ect2-bonus-project,instrat-pl/pypsa-pl,ZaninMarco/Copy-of-repository,mape-maker/mape-maker,Adrianonsare/EnergyAnalytics,covetool/clima,AnnabelNkir/La_Galerie,vondeF/solar_prediction-master,AIMLAC-Convergence/Convergence,YashasviBhatt/transformer_streaming,Bimal-Kumar-002/Sentiment-classification,inrae/SISPPEO,burundiocibu/pvlib-prometheus-exporter,fernandochacon92/AAM_APP_MA_2021,SteveShin9330/PV_PRED_LDAPS,alisher592/toy_ems0,alisher592/mpei_pv,PVSC-Python-Tutorials/pyData-2021-Solar-PV-Modeling,andresgm/cno_solar,rehomewebapp/REhome,rohitsanam/streamlit-basic-app,FZJ-IEK3-VSA/HiSim,tjcoathu/bifacial_radiance,AnaDue99/microCPV_Iluminacion,zahraghh/multi_objective_optimization,martinrteran/Taller_Python3,hancse/ai_model_deployment,amritPVre/Hourly_GHI_GII_App,davidusb-geek/emhass,thiagohgmello1/pvsystem,AvG97/Avocado-Analyzer,openclimatefix/predict_pv_yield,ralphribeiro/lab,yaotc/PVODataset,waggle-sensor/plugin-solar-irradiance,openclimatefix/nowcasting_dataset,AdamRJensen/adamrjensen.github.io,IMMM-SFA/diyepw,slacgismo/solar-data-tools,UlisseProject/ULISSE,isi-ies-group/hiperion_app,bershawi/PV-simulator-challenge,chrklemm/SESMG,JoseDiego101/Blog,h-quest/FDDA_app,sandialabs/pecos,nxtrung87/Voila,rheia-framework/RHEIA,PVSC-Python-Tutorials/PVSC48-Python-Tutorial,sandialabs/pvOps,isc-konstanz/th-e-yield,UARENForecasting/ESPRR,thesethtruth/LESO,kkriti01/pvsimulator,tinoetzold/PV-Prognose,cccwam/ift6759-project1-public,arkayyy/surya-disha,EURAC-EEBgroup/CULTURAL-E-Data-Visualization-Library,zahraghh/Two_Stage_SP,BETALAB-team/EUReCA,FlexMeasures/flexmeasures,gpschnaars/zac_pvlib,francomozo/deepCloud,Saq90/ssg,gripenergy/omf,sillygoose/sbhistory,BBISSlab/DistributedEnergyGen,Vladykart/GPReport,mikofski/PVRW2021,mikofski/OLD-PVSC48-Python-Tutorial,CenterForTheBuiltEnvironment/clima,Peque/pvlib-procedural-test,SolarPerformanceInsight/solarperformanceinsight,UARENForecasting/erebos-ams2020,benjaminpillot/greece,Weiming-Hu/RenewableSimulator,SolarGenomeProject/uncertainty-pv-generation-models,rayarka/EG3301R_Data_and_Programs,jeanromainroy/spatial-prediction-afg-landmines,Vesino/Exergy-YDX,brizett/reegis_hp,Rumbelstilzchen/Monitoring,Vesino/pvlib_tesis,louis-richard/irfu-python,abachleda/FM_e-services,ihomelab/effect-of-sampling-rate-on-PV-self-consumption,DuraMAT/pvpro,oemof-heat/solar_models,traiyn/abcdtft,gayashiva/air_model,selmaneislam/rdootl,cdeline/bifacialvf,cogent-computing/Heed-Microcontroller,TheUninvitedGuest/tmh-challenge,zoezhang926/SolarMartSim,prathamrg/solarapp,Adrian658/ClearSkyDetection,jcjveraa/sunscreen-controller,RaphiOriginal/blindAutomation,jungse12/Ford-Deploy,jungse12/Ford-Website,Gkrumbach07/solar_forecaster,pvedu/pvon,danielvanpaass/Demonstrator,cropsinsilico/hothouse,chrisorner/PowerPlan,uiandwe/django-best-practice-example,emanuelosva/solaru,simardeep1792/LOHS,keenchan/111,keenchan/pv,david-salac/Renewable-energy-prediction,andrewlyden/PyLESA,bradbase/flyingkoala_pvlib,DanielFonteneleNogueira/painel,quintel/scenario-tools,kwhanalytics/data-env,UniOfLeicester/plotdarn,greco-project/pvcompare,HrushikeshBodas/HRES_optimization,mesmo-dev/mesmo,yaricp/py-solarhouse,kwhanalytics/insurance-requirements,pvcaptest/pvcaptest,iansloop/PV_Mismatch_Refactoring,pvlib/pvanalytics,ECE-492-W2020-Group-6/smart-blinds-rpi,greco-project/greco_technologies,UARENForecasting/erebos,maxmills1/Irradiance,vegraux/solar_path,panzer/capstone-mppt,david-salac/Fast-SZA-and-SAA-computation,kwhanalytics/postgis-heliostats-py3.5,nicolasholland/yuce,nano-sippe/bifacial_illumination,FZJ-IEK3-VSA/RESKit,oemof/oemof-thermal,tylunel/pvpumpingsystem,Pyosch/vpplib,renewables-ninja/gsee,greco-project/cpvtopvlib,FZJ-IEK3-VSA/tsib,NREL/Solar-Forecasting,Jeffrey-Simpson/Solar-Forecasting,mikofski/pvwatts_emulator,toddkarin/vocmax,cbaretzky/BuildingEnergySimulation,Ekistica/irradiance_synth,coroa/tmhpvsim,MichaelHopwood/PVPolyfit,kwhanalytics/marvin,rory87/caledonia-energy,SolarArbiter/workshop,harpreet153/pv-graph,toddkarin/pvtools,duplessisaa/Docker,SolarArbiter/solarforecastarbiter-core,mesmo-dev/cobmo,25sal/pvprediction,josephmckinsey/NRELHackathon2018,BLM-UoR/BLM,NREL/pv_tomcat,dpinney/omf,be-lb/solar-loader,higab85/off-grid,buds-lab/the-building-data-genome-project,SunPower/pvfactors,hackingmaterials/duramat_dashboard,kwhanalytics/postgis-marvin,hackingmaterials/ivtools,michbeg/IBM-DSX,teamvirtue/smart-sockets-dev,JohannesBertens/InSolarBase,JasonTarzan/PV_Forecast,eckara/CSSS,heliotrope-energy/bifacial,louisguitton/ifp-class-ml,BreakingBytes/pvfree,BreakingBytes/simkit,tplemmens/InSolar,mikofski/pvsc44-clearsky-aod,Solcast/howto-pandas,vkinakh/calc-solar-panel-effectivness,WalterGoedecke/virtualenv,BreakingBytes/UncertaintyWrapper,open-fred/lib_validation,SunPower/PVMismatch,reegis/reegis,adriandole/pv_timelapse,isc-konstanz/emonpv,oemof/feedinlib,NREL/bifacialvf,NREL/rdtools,NREL/bifacial_radiance,nshakhat/PVSimulator",,https://github.com/pvlib,,,,,https://avatars.githubusercontent.com/u/11037261?v=4,,,
pvfactors,Open source view-factor model for diffuse shading and bifacial PV modeling.,SunPower,https://github.com/SunPower/pvfactors.git,github,"solar-energy,renewable-energy,python,bifacial",Photovoltaics and Solar Energy,"2022/02/22, 21:53:32",61,7,12,true,Python,SunPower,SunPower,"Python,Makefile",http://sunpower.github.io/pvfactors/,"2018/05/14, 06:10:55",1566,BSD-3-Clause,8,104,"2022/02/22, 21:53:38",18,97,126,11,185,2,2.4,0.12903225806451613,"2022/02/22, 20:16:58",v1.5.2,0,5,false,,false,true,"cire-thk/BifacialSimu,andresgm/cno_solar,thesethtruth/LESO,prathamrg/solarapp,anomam/pvfactors_iea_pvps_study,toddkarin/vocmax,toddkarin/pvtools",,https://github.com/SunPower,,,,,https://avatars.githubusercontent.com/u/1341977?v=4,,,
gsee,Global Solar Energy Estimator.,renewables-ninja,https://github.com/renewables-ninja/gsee.git,github,"solar,pandas,energy,irradiance,photovoltaic,pv,electricity,ninja",Photovoltaics and Solar Energy,"2020/07/21, 06:28:35",88,0,13,true,Python,Renewables.ninja,renewables-ninja,"Python,Makefile",https://gsee.readthedocs.io/,"2016/09/01, 11:41:04",2186,BSD-3-Clause,0,56,"2022/03/10, 18:01:09",4,9,9,1,169,1,0.3333333333333333,0.07272727272727275,,,0,3,false,,false,true,,,https://github.com/renewables-ninja,https://www.renewables.ninja/,,,,https://avatars.githubusercontent.com/u/11838260?v=4,,,
PVMismatch,An explicit Python PV system IV & PV curve trace calculator which can also calculate mismatch.,SunPower,https://github.com/SunPower/PVMismatch.git,github,"numpy,scipy,python,solar,photovoltaic",Photovoltaics and Solar Energy,"2022/04/14, 19:15:36",51,0,2,true,Jupyter Notebook,SunPower,SunPower,"Jupyter Notebook,Python,Makefile,Batchfile",http://sunpower.github.io/PVMismatch/,"2013/01/23, 00:26:43",3503,BSD-3-Clause,1,415,"2022/04/14, 19:15:36",48,41,95,1,134,5,2.2,0.17341040462427748,"2019/05/11, 20:24:38",v4.1,0,8,false,,false,true,,,https://github.com/SunPower,,,,,https://avatars.githubusercontent.com/u/1341977?v=4,,,
rdtools,An open source library to support reproducible technical analysis of time series data from photovoltaic energy systems.,NREL,https://github.com/NREL/rdtools.git,github,,Photovoltaics and Solar Energy,"2022/07/01, 21:13:13",109,5,12,true,Python,National Renewable Energy Laboratory,NREL,Python,https://rdtools.readthedocs.io/,"2016/11/18, 22:17:01",2107,MIT,30,619,"2022/08/23, 17:25:44",44,198,298,46,3,10,0.7,0.4940898345153665,"2022/01/06, 22:43:51",2.1.3,0,11,false,,true,true,"bhavyadureja25/ds_tool_with_upload,h-quest/FDDA_app,mikofski/PVRW2021,josephmckinsey/NRELHackathon2018,hackingmaterials/duramat_dashboard",,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
Machine-Learning-for-Solar-Energy-Prediction,Predict the power production of a solar panel farm from weather measurements using machine learning.,ColasGael,https://github.com/ColasGael/Machine-Learning-for-Solar-Energy-Prediction.git,github,"machine-learning,neural-network,data-processing,python,matlab,tensorflow",Photovoltaics and Solar Energy,"2019/11/07, 18:37:29",141,0,32,false,Python,,,"Python,MATLAB,R,TeX,TSQL",,"2018/05/06, 19:43:04",1573,MIT,0,11,"2019/11/15, 19:01:02",0,0,3,0,1015,0,0,0.0,,,0,1,false,,false,true,,,,,,,,,,,
elpv-dataset,A dataset of functional and defective solar cells extracted from EL images of solar modules.,zae-bayern,https://github.com/zae-bayern/elpv-dataset.git,github,"photovoltaic,solar-energy,solar-cells,machine-learning,computer-vision",Photovoltaics and Solar Energy,"2021/05/24, 21:44:52",125,0,54,false,Python,ZAE Bayern,zae-bayern,Python,,"2018/03/07, 10:53:56",1634,CUSTOM,0,18,"2021/04/17, 12:28:16",0,0,3,0,497,0,0,0.0,"2021/05/25, 12:15:29",v1.0,0,1,false,,false,true,,,https://github.com/zae-bayern,https://www.zae-bayern.de,,,,https://avatars.githubusercontent.com/u/37119743?v=4,,,
feedinlib,Contains implementations of photovoltaic models to calculate electricity generation from a PV installation based on given solar radiation. Furthermore it contains all necessary pre-calculations.,oemof,https://github.com/oemof/feedinlib.git,github,,Photovoltaics and Solar Energy,"2022/08/22, 07:15:08",70,11,6,true,Python,oemof community,oemof,Python,,"2014/07/24, 09:03:29",2956,MIT,3,504,"2021/11/08, 13:45:48",23,18,51,4,291,5,0.8,0.6869158878504673,"2019/01/31, 14:19:59",v0.0.12,0,10,false,,false,true,"moritz-reuter/ESEM-EE,rl-institut/OWEFE,GregorBecker/SESMG,dpinney/wiires,chrklemm/SESMG,greco-project/greco_technologies,birgits/dgs_tool,open-fred/feedin_germany,rl-institut/WAM_APP_vdi,rl-institut/WAM_APP_stemp_mv,rl-institut/appBBB",,https://github.com/oemof,https://oemof.org,Germany,,,https://avatars.githubusercontent.com/u/8503379?v=4,,,
photovoltaic,A Python library used in photovoltaics.,pvedu,https://github.com/pvedu/photovoltaic.git,github,,Photovoltaics and Solar Energy,"2022/04/25, 22:48:39",41,1,4,true,HTML,,,"HTML,Python,Batchfile",,"2017/08/29, 23:41:59",1823,GPL-3.0,5,56,"2022/04/25, 22:48:40",2,2,2,1,123,1,0.0,0.2692307692307693,,,0,4,false,,false,false,pvedu/pvon,,,,,,,,,,
pvcaptest,Collection of functions and Jupyter Notebooks to partially automate running a capacity test following ASTM E2848.,pvcaptest,https://github.com/pvcaptest/pvcaptest.git,github,,Photovoltaics and Solar Energy,"2021/07/26, 13:43:21",13,1,2,true,Python,,pvcaptest,Python,,"2017/09/19, 01:33:23",1803,MIT,0,606,"2021/07/25, 16:51:03",24,15,45,6,397,2,0.1,0.0018832391713747842,,,0,2,false,,false,false,pvcaptest/pvcaptest,,https://github.com/pvcaptest,,,,,https://avatars.githubusercontent.com/u/53880406?v=4,,,
